timestamp,instrument_id,absorbed_dose_rate
"2018-06-01T00:00:28","DosTel2",2.329394
"2018-06-01T00:01:34","DosTel1",3.337755
"2018-06-01T00:02:08","DosTel2",2.842457
"2018-06-01T00:03:26","DosTel1",3.938065
"2018-06-01T00:04:00","DosTel2",3.946332
"2018-06-01T00:05:06","DosTel1",4.992491
"2018-06-01T00:05:40","DosTel2",5.350933
"2018-06-01T00:06:46","DosTel1",7.442414
"2018-06-01T00:07:20","DosTel2",6.600311
"2018-06-01T00:08:26","DosTel1",8.237058
"2018-06-01T00:09:00","DosTel2",9.351201
"2018-06-01T00:10:06","DosTel1",12.792202
"2018-06-01T00:10:40","DosTel2",10.741569
"2018-06-01T00:11:46","DosTel1",11.250279
"2018-06-01T00:12:20","DosTel2",11.387239
"2018-06-01T00:13:38","DosTel1",12.931751
"2018-06-01T00:14:12","DosTel2",11.83135
"2018-06-01T00:15:18","DosTel1",12.933065
"2018-06-01T00:15:52","DosTel2",13.109977
"2018-06-01T00:16:58","DosTel1",12.561164
"2018-06-01T00:17:32","DosTel2",12.517506
"2018-06-01T00:18:38","DosTel1",11.103002
"2018-06-01T00:19:12","DosTel2",12.384209
"2018-06-01T00:20:18","DosTel1",10.15799
"2018-06-01T00:20:52","DosTel2",9.815072
"2018-06-01T00:21:58","DosTel1",9.41983
"2018-06-01T00:22:32","DosTel2",8.428895
"2018-06-01T00:23:50","DosTel1",5.811322
"2018-06-01T00:24:24","DosTel2",6.354857
"2018-06-01T00:25:30","DosTel1",4.808589
"2018-06-01T00:26:04","DosTel2",3.861674
"2018-06-01T00:27:10","DosTel1",3.104786
"2018-06-01T00:27:44","DosTel2",3.481172
"2018-06-01T00:28:50","DosTel1",2.61698
"2018-06-01T00:29:24","DosTel2",3.139867
"2018-06-01T00:30:30","DosTel1",2.155137
"2018-06-01T00:31:04","DosTel2",2.588989
"2018-06-01T00:32:10","DosTel1",2.797869
"2018-06-01T00:32:44","DosTel2",2.995469
"2018-06-01T00:34:02","DosTel1",2.326059
"2018-06-01T00:34:37","DosTel2",2.616947
"2018-06-01T00:35:42","DosTel1",1.847139
"2018-06-01T00:36:17","DosTel2",2.067497
"2018-06-01T00:37:22","DosTel1",1.751247
"2018-06-01T00:37:57","DosTel2",2.031202
"2018-06-01T00:40:42","DosTel1",3.081527
"2018-06-01T00:41:17","DosTel2",1.74784
"2018-06-01T00:42:22","DosTel1",2.880934
"2018-06-01T00:42:57","DosTel2",2.220739
"2018-06-01T00:44:14","DosTel1",2.344449
"2018-06-01T00:44:50","DosTel2",3.678078
"2018-06-01T00:45:54","DosTel1",2.711327
"2018-06-01T00:46:30","DosTel2",3.325212
"2018-06-01T00:47:34","DosTel1",3.186305
"2018-06-01T00:48:10","DosTel2",3.648093
"2018-06-01T00:49:14","DosTel1",4.883
"2018-06-01T00:49:50","DosTel2",4.303113
"2018-06-01T00:50:54","DosTel1",5.278236
"2018-06-01T00:51:30","DosTel2",5.171713
"2018-06-01T00:52:34","DosTel1",6.610371
"2018-06-01T00:53:10","DosTel2",6.423809
"2018-06-01T00:54:27","DosTel1",8.604477
"2018-06-01T00:55:03","DosTel2",8.491214
"2018-06-01T00:56:07","DosTel1",9.622587
"2018-06-01T00:56:43","DosTel2",10.916459
"2018-06-01T00:57:47","DosTel1",12.19475
"2018-06-01T00:58:23","DosTel2",11.862256
"2018-06-01T00:59:27","DosTel1",12.296437
