mission,window,start,end,radiation_sensor1_coverage_pct,radiation_sensor2_coverage_pct,radiation_combined_coverage_pct,temperature_coverage_pct,relative_humidity_coverage_pct,co2_coverage_pct,pressure_coverage_pct,oxygen_coverage_pct
NG-11,launch to latest lot landing,1555533960.0,1566937200.0,82.37426380572539,82.45219779641575,82.57839877087565,29.73733780925421,29.73733780925421,29.73733780925421,0.0,0.0
SpX-15,launch to latest lot landing,1530265320.0,1566937200.0,97.52284584264564,98.86576308604849,99.06112258220739,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
SpX-16,launch to latest lot landing,1544033760.0,1566937200.0,98.59440328614392,98.57349376338227,98.79075370337384,15.437331684672696,15.437331684672696,15.437331684672696,0.0,0.0
SpX-17,launch to latest lot landing,1556952480.0,1578411660.0,48.50642941622187,93.14116848826471,93.21481529117142,23.043564572364833,23.043564572364833,23.043564572364833,0.0,0.0
SpX-18,launch to latest lot landing,1564092060.0,1586285400.0,15.06092818836642,93.55312900176361,93.5742569617732,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
SpX-20,launch to latest lot landing,1583556600.0,1667591700.0,41.45708281420501,73.96902365797149,76.42242586728642,0.0,0.0,0.0,0.0,0.0
