sensor,rows,start,end,median_step_seconds,p95_step_seconds,largest_gap_hours,gaps_gt_1h,gaps_gt_24h,mean_rate_as_stored,module,unit,spatial_relevance_grade
DosTel1,889458,2018-06-01T00:01:34+00:00,2022-11-01T23:56:35+00:00,100.0,113.0,13107.2825,10,5,32.93483424963219,Columbus,uGy/h (RadLab API documentation),D
DosTel2,1447306,2018-06-01T00:00:28+00:00,2022-09-24T13:35:13+00:00,100.0,113.0,3558.8175,7,4,28.865187382902107,Columbus,uGy/h (RadLab API documentation),D
