lot_id,api,mission,radiation_sensor1_coverage_pct,radiation_sensor2_coverage_pct,radiation_combined_coverage_pct,temperature_coverage_pct,relative_humidity_coverage_pct,co2_coverage_pct,pressure_coverage_pct,oxygen_coverage_pct
DS01_01,Caffeine,SpX-15,95.02574912908214,97.9221622981054,98.07966104063041,37.57684569384676,37.57684569384676,37.57684569384676,0.0,0.0
DS01_02,Diphenhydramine,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_03,Diphenhydramine,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_04,Epinephrine,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_05,Lidocaine,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_06,Naloxone,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_07,Promethazine,SpX-15,97.52284584264565,98.8657630860485,99.0611225822074,27.242562966501854,27.242562966501854,27.242562966501854,0.0,0.0
DS01_08,Promethazine,SpX-15,95.02574912908214,97.9221622981054,98.07966104063041,37.57684569384676,37.57684569384676,37.57684569384676,0.0,0.0
DS01_09,Caffeine,SpX-16,98.59440328614392,98.57349376338227,98.79075370337381,15.437331684672696,15.437331684672696,15.437331684672696,0.0,0.0
DS01_10,Promethazine,SpX-16,98.59440328614392,98.57349376338227,98.79075370337381,15.437331684672696,15.437331684672696,15.437331684672696,0.0,0.0
DS01_11,Epinephrine,SpX-17,48.50642941622187,93.1411684882647,93.21481529117143,23.043564572364833,23.043564572364833,23.043564572364833,0.0,0.0
DS01_12,Diphenhydramine,NG-11,82.37426380572539,82.45219779641576,82.57839877087565,29.73733780925421,29.73733780925421,29.73733780925421,0.0,0.0
DS01_13,Lidocaine,NG-11,82.37426380572539,82.45219779641576,82.57839877087565,29.73733780925421,29.73733780925421,29.73733780925421,0.0,0.0
DS01_14,Promethazine,NG-11,82.37426380572539,82.45219779641576,82.57839877087565,29.73733780925421,29.73733780925421,29.73733780925421,0.0,0.0
DS01_15,Caffeine,SpX-18,23.34229308081231,90.16490684097322,90.197652169055,21.096958015587028,21.096958015587028,21.096958015587028,0.0,0.0
DS01_16,Diazepam,SpX-18,23.34229308081231,90.16490684097322,90.197652169055,21.096958015587028,21.096958015587028,21.096958015587028,0.0,0.0
DS01_17,Diphenhydramine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_18,Diphenhydramine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_19,Ketamine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_20,Lidocaine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_21,Naloxone,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_22,Promethazine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_23,Promethazine,SpX-18,15.060928188366422,93.5531290017636,93.57425696177322,13.775754347926,13.775754347926,13.775754347926,0.0,0.0
DS01_24,Caffeine,SpX-20,0.0,88.98616623308976,88.98616623308976,0.0,0.0,0.0,0.0,0.0
DS01_25,Diazepam,SpX-20,41.457082814205016,73.96902365797149,76.4224258672864,0.0,0.0,0.0,0.0,0.0
DS01_26,Diphenhydramine,SpX-20,25.741447076549324,92.88043742738797,92.91873547464112,0.0,0.0,0.0,0.0,0.0
DS01_27,Diphenhydramine,SpX-20,25.741447076549324,92.88043742738797,92.91873547464112,0.0,0.0,0.0,0.0,0.0
DS01_28,Ketamine,SpX-20,25.741447076549324,92.88043742738797,92.91873547464112,0.0,0.0,0.0,0.0,0.0
DS01_29,Lidocaine,SpX-20,25.741447076549324,92.88043742738797,92.91873547464112,0.0,0.0,0.0,0.0,0.0
DS01_30,Naloxone,SpX-20,36.635703293022566,94.05349691982411,94.1049166855554,0.0,0.0,0.0,0.0,0.0
DS01_31,Promethazine,SpX-20,25.741447076549324,92.88043742738797,92.91873547464112,0.0,0.0,0.0,0.0,0.0
DS01_32,Promethazine,SpX-20,0.0,88.98616623308976,88.98616623308976,0.0,0.0,0.0,0.0,0.0
