lot_id,nearest_neighbor_distance,in_domain_cutoff,boundary_cutoff,domain_status
DS01_01,1.1509777660530587,1.1319766892718668,3.133123264114566,NEAR_BOUNDARY
DS01_02,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_03,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_04,1.2036976434545872,1.176471121280621,2.440614299271099,NEAR_BOUNDARY
DS01_05,0.1804823791384775,0.9946557650199989,1.7921847179654224,IN_DOMAIN
DS01_06,2.5264913273176326,0.9515437707082286,1.1974234704725135,OUT_OF_DOMAIN
DS01_07,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_08,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_09,1.1509777660530587,1.1319766892718668,3.133123264114566,NEAR_BOUNDARY
DS01_10,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_11,1.2036976434545872,1.176471121280621,2.440614299271099,NEAR_BOUNDARY
DS01_12,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_13,0.1804823791384775,0.9946557650199989,1.7921847179654224,IN_DOMAIN
DS01_14,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_15,1.1509777660530587,1.1319766892718668,3.133123264114566,NEAR_BOUNDARY
DS01_16,0.9644028141272586,1.027753770008896,2.251268799099805,IN_DOMAIN
DS01_17,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_18,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_19,0.1865005186638206,1.029042248728254,1.8904375243278684,IN_DOMAIN
DS01_20,0.1804823791384775,0.9946557650199989,1.7921847179654224,IN_DOMAIN
DS01_21,2.5264913273176326,0.9515437707082286,1.1974234704725135,OUT_OF_DOMAIN
DS01_22,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_23,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_24,1.1509777660530587,1.1319766892718668,3.133123264114566,NEAR_BOUNDARY
DS01_25,0.9644028141272586,1.027753770008896,2.251268799099805,IN_DOMAIN
DS01_26,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_27,1.2007446040971423,0.8970961815310772,2.0577147871911734,NEAR_BOUNDARY
DS01_28,0.1865005186638206,1.029042248728254,1.8904375243278684,IN_DOMAIN
DS01_29,0.1804823791384775,0.9946557650199989,1.7921847179654224,IN_DOMAIN
DS01_30,2.5264913273176326,0.9515437707082286,1.1974234704725135,OUT_OF_DOMAIN
DS01_31,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
DS01_32,1.1912809118347296,1.1023163982997473,1.7731803800830686,NEAR_BOUNDARY
