sample_id,mission,drug_name,formulation,days_in_space,start_date,end_date,total_exposure_hours,number_of_measurements,radiation_coverage_percent,mean_dose_rate_uGy_h,mean_daily_dose_rate_uGy_d,median_dose_rate_uGy_h,std_dose_rate_uGy_h,min_dose_rate_uGy_h,max_dose_rate_uGy_h,estimated_cumulative_iss_dose_mGy,dosimetry_method,dosimetry_nature
DS01_22,SpX-18,Promethazine,Solution,257,2019-07-27,2020-04-09,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_23,SpX-18,Promethazine,Tablet,257,2019-07-27,2020-04-09,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_24,SpX-20,Caffeine,Tablet,313,2020-03-09,2021-01-16,7512.0,339409,90.32,29.0349,696.84,5.2027,86.222,0.0359,764.4428,218.11,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_25,SpX-20,Diazepam,Solution,972,2020-03-09,2022-11-06,23328.0,1335265,76.61,29.9611,719.07,5.205,89.9476,0.0359,865.2253,698.933,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_26,SpX-20,Diphenhydramine,Capsule,490,2020-03-09,2021-07-12,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_27,SpX-20,Diphenhydramine,Solution,490,2020-03-09,2021-07-12,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_28,SpX-20,Ketamine,Solution,490,2020-03-09,2021-07-12,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_29,SpX-20,Lidocaine,Solution,490,2020-03-09,2021-07-12,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_30,SpX-20,Naloxone,Solution,573,2020-03-09,2021-10-03,13752.0,905958,94.71,29.9381,718.51,5.2258,89.7277,0.0359,865.2253,411.708,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_31,SpX-20,Promethazine,Solution,490,2020-03-09,2021-07-12,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
DS01_32,SpX-20,Promethazine,Tablet,313,2020-03-09,2021-01-16,7512.0,339409,90.32,29.0349,696.84,5.2027,86.222,0.0359,764.4428,218.11,DosTel 1+2 Environmental Time-Integrated Telemetry (Columbus Module),Environmental ISS ambient estimate (not direct sample dosimeter)
