sample_id,mission,drug_name,formulation,dosage,days_expired,manufacturer,packaging,start_date,end_date,days_in_space,total_exposure_hours,radiation_measurements_count,radiation_coverage_percent,mean_dose_rate_uGy_h,mean_daily_dose_rate_uGy_d,median_dose_rate_uGy_h,std_dose_rate_uGy_h,min_dose_rate_uGy_h,max_dose_rate_uGy_h,estimated_cumulative_iss_dose_mGy,dosimetry_nature,pubchem_cid,molecular_weight_gmol,xlogp,tpsa_angstrom2,rotatable_bonds,hbond_donors,hbond_acceptors,heavy_atom_count,molecular_complexity,inchikey,isomeric_smiles,flight_percent_api_remaining,ground_control_percent_api_remaining,relative_percent_diff_vs_control,outcome_extraction_status,sd_ground_control_api,sd_flight_api,anova_p_value_exposure,outcome_source,outcome_extraction_method
DS01_11,SpX-17,Epinephrine,Autoinjector,0.1 mg/mL,1338,Hospira,Syringe (MFR),2019-05-06,2020-01-09,248,5952.0,323828,94.33,33.1951,796.68,5.401,91.8407,1.2074,778.4121,197.577,Environmental ISS ambient estimate (not direct sample dosimeter),5816,183.2,-1.4,72.7,3,4,4,13,154.0,UCTWMZQNUQWSLP-VIFPVBQESA-N,,100.8,93.1,8.27,EXTRACTED_AND_VERIFIED,2.4,2.7,P=0.0286,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_12,NG-11,Diphenhydramine,Solution,50 mg/mL,1065,Hikma,Single-dose vial (MFR),2019-04-19,2019-08-29,132,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,99.4,91.8,8.28,EXTRACTED_AND_VERIFIED,2.5,3.0,P=0.0286,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_13,NG-11,Lidocaine,Solution,10 mg/mL,945,Fresenius Kabi,Multi-dose vial (MFR),2019-04-19,2019-08-29,132,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,Environmental ISS ambient estimate (not direct sample dosimeter),3676,234.34,2.3,32.3,5,1,2,17,228.0,NNJVILVZKWQKPM-UHFFFAOYSA-N,,98.7,92.9,6.24,EXTRACTED_AND_VERIFIED,2.7,2.8,P=0.0286,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_14,NG-11,Promethazine,Solution,25 mg/mL,1096,Hikma,Single-dose vial (MFR),2019-04-19,2019-08-29,132,3168.0,240465,100.0,33.062,793.49,5.3903,91.7185,1.2549,778.4121,104.74,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,74.2,84.6,-12.29,EXTRACTED_AND_VERIFIED,3.5,4.1,P<0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_15,SpX-18,Caffeine,Tablet,200 mg,670,Walgreens,Amber ziplock (JSC),2019-07-27,2020-01-09,166,3984.0,174513,91.53,33.2538,798.09,5.4173,91.6396,1.2074,776.8041,132.483,Environmental ISS ambient estimate (not direct sample dosimeter),2519,194.19,-0.1,58.4,0,0,3,14,293.0,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,76.5,86.1,-11.15,EXTRACTED_AND_VERIFIED,3.2,3.8,P<0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_16,SpX-18,Diazepam,Solution,5 mg/mL,1278,Hospira,Multi-dose vial (MFR),2019-07-27,2020-01-09,166,3984.0,174513,91.53,33.2538,798.09,5.4173,91.6396,1.2074,776.8041,132.483,Environmental ISS ambient estimate (not direct sample dosimeter),3016,284.74,3.0,32.7,1,0,2,20,403.0,AAOVKJBEBIDNHE-UHFFFAOYSA-N,,79.8,81.3,-1.85,EXTRACTED_AND_VERIFIED,3.0,3.2,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_17,SpX-18,Diphenhydramine,Capsule,25 mg,731,Major,Blister pack (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,78.5,80.9,-2.97,EXTRACTED_AND_VERIFIED,2.9,3.4,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_18,SpX-18,Diphenhydramine,Solution,50 mg/mL,1065,Hikma,Single-dose vial (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,95.1,98.5,-3.45,EXTRACTED_AND_VERIFIED,2.1,2.3,P=0.0125,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_19,SpX-18,Ketamine,Solution,50 mg/mL,823,Mylan,Multi-dose vial (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),3821,237.72,2.2,29.1,2,1,2,16,269.0,YQEZLKZALYSWHR-UHFFFAOYSA-N,,96.4,99.2,-2.82,EXTRACTED_AND_VERIFIED,1.9,2.2,P=0.0125,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_20,SpX-18,Lidocaine,Solution,10 mg/mL,670,Fresenius Kabi,Multi-dose vial (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),3676,234.34,2.3,32.3,5,1,2,17,228.0,NNJVILVZKWQKPM-UHFFFAOYSA-N,,94.8,97.9,-3.17,EXTRACTED_AND_VERIFIED,2.2,2.5,P=0.0125,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
